Rk,Player,Age,Team,Pos,G,TS%,FTr,OWS,DWS,WS,Awards,season,is_playoff
175.0,Richie Niemiera,28.0,FTW,,31.0,0.364,0.353,-0.2,1.0,0.8,,1950,False
175.0,Richie Niemiera,28.0,AND,,29.0,0.436,0.462,0.8,1.1,1.9,,1950,False
176.0,Paul Walther,22.0,2TM,SG,53.0,0.431,0.376,1.3,0.9,2.2,,1950,False
176.0,Paul Walther,22.0,MNL,SG,22.0,0.42,0.263,0.2,0.5,0.8,,1950,False
176.0,Paul Walther,22.0,INO,SG,31.0,0.434,0.419,1.0,0.4,1.4,,1950,False
177.0,Hoot Gibson,28.0,2TM,,32.0,0.394,0.328,0.2,-0.2,0.0,,1950,False
177.0,Hoot Gibson,28.0,BOS,,2.0,0.608,1.0,0.1,0.0,0.1,,1950,False
177.0,Hoot Gibson,28.0,WAT,,30.0,0.389,0.314,0.1,-0.2,-0.1,,1950,False
178.0,Gene James,24.0,NYK,,29.0,0.335,0.484,-0.2,0.3,0.1,,1950,False
179.0,Dick Schulz,33.0,3TM,,50.0,0.401,0.519,0.6,0.2,0.8,,1950,False
179.0,Dick Schulz,33.0,WSC,,13.0,0.375,0.622,0.0,0.2,0.2,,1950,False
179.0,Dick Schulz,33.0,TRI,,8.0,0.378,0.467,0.0,0.1,0.1,,1950,False
179.0,Dick Schulz,33.0,SHE,,29.0,0.42,0.5,0.6,-0.1,0.4,,1950,False
180.0,Jimmy Darden,27.0,DNN,,26.0,0.379,0.329,0.1,-0.3,-0.2,,1950,False
181.0,Matt Mazza,26.0,SHE,,26.0,0.378,0.409,0.0,-0.1,0.0,,1950,False
182.0,Gene Stump,24.0,2TM,,49.0,0.344,0.254,-0.6,0.4,-0.2,,1950,False
182.0,Gene Stump,24.0,MNL,,23.0,0.302,0.147,-0.6,0.5,0.0,,1950,False
182.0,Gene Stump,24.0,WAT,,26.0,0.376,0.339,0.0,-0.1,-0.1,,1950,False
183.0,Andy O'Donnell,24.0,BLB,,25.0,0.388,0.167,0.1,0.3,0.3,,1950,False
184.0,Gene Englund,32.0,2TM,,46.0,0.502,0.701,3.2,1.0,4.2,,1950,False
184.0,Gene Englund,32.0,BOS,,24.0,0.503,0.716,1.8,0.5,2.3,,1950,False
184.0,Gene Englund,32.0,TRI,,22.0,0.5,0.683,1.5,0.4,1.9,,1950,False
185.0,Charley Shipp,36.0,WAT,,23.0,0.336,0.372,-0.4,-0.2,-0.6,,1950,False
186.0,Hook Dillon,26.0,WSC,,22.0,0.278,0.4,-0.5,0.2,-0.4,,1950,False
187.0,John Mandic,30.0,2TM,,25.0,0.37,0.427,-0.1,0.3,0.3,,1950,False
187.0,John Mandic,30.0,WSC,,22.0,0.396,0.462,0.1,0.3,0.4,,1950,False
187.0,John Mandic,30.0,BLB,,3.0,0.184,0.2,-0.2,0.0,-0.1,,1950,False
188.0,Johnny Orr,22.0,2TM,,34.0,0.37,0.119,-0.1,0.0,-0.1,,1950,False
188.0,Johnny Orr,22.0,STB,,21.0,0.399,0.149,0.1,0.1,0.1,,1950,False
