Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
148.0,Jim King,31.0,CHI,SG,65.0,,785.0,10.9,0.483,0.198,4.8,14.1,0.4,1.0,1.5,0.091,,1973,False
149.0,Jim Davis,31.0,DET,C,73.0,,771.0,16.1,0.544,0.444,16.5,9.6,1.5,0.8,2.3,0.142,,1973,False
150.0,Walt Hazzard,30.0,2TM,PG,55.0,,763.0,11.5,0.464,0.223,5.3,21.2,0.2,0.9,1.1,0.07,,1973,False
150.0,Walt Hazzard,30.0,BUF,PG,9.0,,134.0,8.7,0.423,0.1,3.5,17.9,-0.1,0.0,-0.1,-0.036,,1973,False
150.0,Walt Hazzard,30.0,GSW,PG,46.0,,629.0,12.1,0.476,0.26,5.6,22.0,0.3,0.9,1.2,0.092,,1973,False
151.0,Steve Kuberski,25.0,BOS,SF,78.0,,762.0,11.7,0.449,0.242,11.6,4.4,-0.3,1.5,1.2,0.077,,1973,False
152.0,Bob Christian,26.0,ATL,C,55.0,,759.0,14.5,0.606,0.51,19.2,7.5,1.6,0.9,2.4,0.154,,1973,False
153.0,Dave Sorenson,24.0,2TM,PF,58.0,0.0,755.0,12.4,0.469,0.307,12.6,6.7,0.1,0.5,0.7,0.042,,1973,False
153.0,Dave Sorenson,24.0,CLE,PF,10.0,,129.0,3.4,0.271,0.244,13.9,5.0,-0.6,0.2,-0.4,-0.147,,1973,False
153.0,Dave Sorenson,24.0,PHI,PF,48.0,0.0,626.0,14.3,0.504,0.319,12.3,7.1,0.7,0.3,1.1,0.081,,1973,False
154.0,Mike Price,24.0,PHI,SG,57.0,5.0,751.0,10.4,0.448,0.156,6.9,13.3,-0.2,0.4,0.2,0.011,,1973,False
155.0,Dick Gibbs,24.0,2TM,SF,67.0,,735.0,6.5,0.414,0.284,6.7,10.4,-0.6,0.1,-0.6,-0.036,,1973,False
155.0,Dick Gibbs,24.0,HOU,SF,1.0,,2.0,-8.1,0.0,0.0,0.0,52.2,0.0,0.0,0.0,-0.526,,1973,False
155.0,Dick Gibbs,24.0,KCO,SF,66.0,,733.0,6.6,0.416,0.285,6.7,10.3,-0.6,0.0,-0.5,-0.035,,1973,False
156.0,Fred Hilton,25.0,BUF,SG,59.0,,731.0,11.2,0.409,0.107,6.3,15.9,-1.5,0.2,-1.4,-0.091,,1973,False
157.0,Steve Patterson,24.0,CLE,C,62.0,,710.0,9.6,0.388,0.328,15.6,9.4,-0.9,1.1,0.1,0.009,,1973,False
