Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,season,is_playoff
49.0,Cazzie Russell,29.0,GSW,SF,82.0,,2574.0,17.6,0.513,0.163,5.3,7.6,6.5,11.3,0.9,0.3,6.0,1.1,7.1,0.133,2.2,-1.9,0.2,1.5,,1974,False
50.0,Neal Walk,25.0,PHO,C,82.0,,2549.0,19.1,0.502,0.239,9.4,23.7,16.6,19.2,1.3,1.1,3.8,2.3,6.1,0.115,2.3,-0.3,1.9,2.5,,1974,False
51.0,Bob Dandridge,26.0,MIL,SF,71.0,,2521.0,17.0,0.535,0.185,5.1,13.7,9.7,11.2,2.0,0.8,4.4,4.0,8.4,0.16,0.9,0.6,1.5,2.3,,1974,False
52.0,Jim Washington,30.0,ATL,PF,73.0,,2519.0,11.9,0.521,0.32,8.1,21.5,14.7,7.8,0.8,1.5,2.2,2.5,4.7,0.09,-0.6,-0.1,-0.6,0.9,,1974,False
53.0,Nate Williams,23.0,KCO,SF,82.0,,2513.0,15.5,0.5,0.203,4.9,9.4,7.2,11.3,2.7,0.7,1.9,2.1,4.0,0.077,-0.6,0.2,-0.4,1.0,,1974,False
54.0,Fred Brown,25.0,SEA,SG,82.0,,2501.0,17.9,0.51,0.184,4.2,11.7,7.8,24.5,2.4,0.4,4.0,2.4,6.4,0.123,1.2,0.6,1.9,2.4,,1974,False
55.0,Curtis Rowe,24.0,DET,PF,82.0,,2499.0,12.2,0.521,0.22,6.9,14.3,10.6,7.5,0.9,0.8,3.0,3.1,6.1,0.117,0.0,-0.1,-0.1,1.2,,1974,False
56.0,Jeff Mullins,31.0,GSW,SG,77.0,,2498.0,15.1,0.509,0.168,3.3,7.0,5.2,16.8,1.2,0.4,4.3,1.2,5.6,0.107,0.6,-1.0,-0.5,1.0,,1974,False
57.0,Lenny Wilkens,36.0,CLE,PG,74.0,,2483.0,18.7,0.526,0.363,3.1,8.6,5.7,30.9,1.8,0.4,5.2,1.4,6.5,0.126,2.5,-0.6,1.9,2.4,,1974,False
58.0,Dwight Davis,24.0,CLE,PF,76.0,,2477.0,13.5,0.483,0.318,6.8,20.7,13.3,10.5,1.2,1.6,1.3,2.4,3.7,0.072,-1.3,0.2,-1.2,0.5,,1974,False
59.0,Oscar Robertson,35.0,MIL,PG,70.0,,2477.0,14.2,0.502,0.329,3.1,8.0,5.7,22.3,1.4,0.1,3.2,2.6,5.9,0.113,0.2,-0.3,-0.1,1.2,,1974,False
60.0,Nate Thurmond,32.0,GSW,C,62.0,,2463.0,15.0,0.492,0.414,9.8,23.6,16.8,8.2,0.7,3.6,2.6,3.4,6.0,0.117,0.5,0.8,1.3,2.1,"MVP-8,AS,DEF2",1974,False
61.0,Zaid Abdul-Aziz,27.0,HOU,C,79.0,,2459.0,15.9,0.516,0.328,11.4,28.6,20.1,8.9,1.5,2.3,3.3,3.2,6.5,0.126,0.9,0.1,1.0,1.8,,1974,False
62.0,Walt Bellamy,34.0,ATL,C,77.0,,2440.0,15.2,0.521,0.478,10.7,20.0,15.3,10.3,0.9,1.0,3.2,2.2,5.4,0.107,0.7,-0.9,-0.2,1.1,,1974,False
63.0,Lucius Allen,26.0,MIL,PG,72.0,,2388.0,18.8,0.536,0.258,4.1,8.1,6.2,21.7,2.6,0.5,4.7,3.4,8.2,0.164,1.6,1.0,2.5,2.7,MVP-15,1974,False
64.0,Curtis Perry,25.0,MIL,PF,81.0,,2386.0,13.2,0.462,0.184,11.1,18.4,15.0,9.5,2.0,2.1,0.7,4.6,5.3,0.106,-1.0,1.5,0.5,1.5,,1974,False
