Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
31,Mike Dunleavy,SG,27,HOU,3,66,12.9,0.467,0.182,0.273,0.0,4.8,2.3,22.5,1.7,0.0,3.9,17.2,,0.1,0.0,0.1,0.095,,-1.2,1.0,-0.2,0.0,1982,True
32,T.R. Dunn,SG,26,DEN,3,81,14.7,0.575,0.0,0.615,13.2,11.3,12.3,13.3,4.5,0.6,23.2,10.3,,0.1,0.1,0.2,0.114,,0.8,3.3,4.1,0.1,1982,True
33,Craig Dykema,SF,22,PHO,6,12,-4.5,0.167,0.0,0.0,0.0,37.8,18.2,9.5,0.0,0.0,14.3,22.9,,-0.1,0.0,-0.1,-0.31,,-16.1,-4.7,-20.8,-0.1,1982,True
34,Franklin Edwards,PG,22,PHI,9,32,41.1,0.689,0.05,0.45,7.3,10.2,8.8,31.6,4.6,0.0,7.7,34.0,,0.2,0.0,0.3,0.435,,17.0,4.9,21.9,0.2,1982,True
35,Len Elmore,C,29,NJN,2,76,12.6,0.619,0.0,0.25,1.5,24.3,12.5,4.0,0.7,1.6,10.1,11.1,,0.1,0.1,0.2,0.14,,-1.2,0.9,-0.3,0.0,1982,True
36,Alex English*,SF,28,DEN,3,118,18.3,0.499,0.0,0.127,7.2,14.5,10.8,18.5,1.2,1.3,6.4,20.4,,0.2,0.0,0.2,0.101,,3.1,0.2,3.3,0.2,1982,True
37,Julius Erving*,SF,31,PHI,21,780,22.5,0.581,0.019,0.509,8.5,13.8,11.2,19.4,2.3,2.7,14.5,24.9,,1.9,1.1,3.0,0.185,,6.6,1.4,8.0,2.0,1982,True
38,Eric Fernsten,C,28,BOS,5,11,14.7,0.521,0.0,1.0,19.5,0.0,9.5,0.0,0.0,5.2,0.0,10.6,,0.0,0.0,0.0,0.169,,6.4,-1.9,4.6,0.0,1982,True
39,Chris Ford,SG,33,BOS,12,138,12.5,0.521,0.167,0.167,4.7,6.7,5.7,15.6,1.1,0.4,6.2,14.2,,0.3,0.2,0.5,0.157,,2.1,-0.1,2.0,0.1,1982,True
40,Calvin Garrett,SF,25,HOU,1,1,-34.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,,0.0,0.0,0.0,-0.975,,-29.5,-17.9,-47.4,0.0,1982,True
41,George Gervin*,SG,29,SAS,9,373,18.5,0.511,0.013,0.311,5.1,13.8,9.2,17.7,1.3,0.6,10.7,30.6,,0.5,0.2,0.7,0.092,,2.4,-0.6,1.7,0.4,1982,True
42,Mike Glenn,SG,26,ATL,2,35,15.6,0.761,0.0,0.286,0.0,4.2,1.9,11.9,4.7,0.0,20.2,13.2,,0.1,0.0,0.1,0.13,,-0.1,4.9,4.8,0.1,1982,True
43,Mike Gminski,C,22,NJN,1,10,15.6,0.644,0.0,0.667,0.0,24.6,11.9,0.0,0.0,0.0,0.0,16.6,,0.0,0.0,0.0,0.203,,-0.8,0.2,-0.6,0.0,1982,True
44,Glen Gondrezick,SF,26,DEN,3,51,14.2,0.422,0.05,0.15,6.3,11.2,8.7,20.9,1.8,1.0,0.0,16.2,,0.1,0.0,0.1,0.082,,0.3,1.4,1.7,0.0,1982,True
45,Kevin Grevey,SG,28,WSB,7,159,11.5,0.513,0.143,0.339,1.4,5.8,3.5,11.1,0.9,0.4,8.5,18.5,,0.2,0.2,0.3,0.102,,1.9,-0.5,1.4,0.1,1982,True
