team,season,reached_playoffs,reached_conf_finals,champion
BOS,1950,0,0,0
BLB,1950,0,0,0
STL,1950,0,0,0
CIN,1950,0,0,0
DET,1950,0,0,0
LAL,1950,0,0,0
SFW,1950,0,0,0
PHI,1950,0,0,0
BAL,1950,0,0,0
CHI,1950,0,0,0
ATL,1950,0,0,0
SDR,1950,0,0,0
MIL,1950,0,0,0
PHO,1950,0,0,0
GSW,1950,0,0,0
CAP,1950,0,0,0
BUF,1950,0,0,0
SEA,1950,0,0,0
WSB,1950,0,0,0
KCO,1950,0,0,0
HOU,1950,0,0,0
CLE,1950,0,0,0
SAS,1950,0,0,0
POR,1950,0,0,0
DEN,1950,0,0,0
KCK,1950,0,0,0
NJN,1950,0,0,0
IND,1950,0,0,0
DAL,1950,0,0,0
UTA,1950,0,0,0
SAC,1950,0,0,0
MIA,1950,0,0,0
LAC,1950,0,0,0
CHH,1950,0,0,0
ORL,1950,0,0,0
MIN,1950,0,0,0
TOR,1950,0,0,0
NOH,1950,0,0,0
MEM,1950,0,0,0
WAS,1950,0,0,0
OKC,1950,0,0,0
CHA,1950,0,0,0
BRK,1950,0,0,0
NOP,1950,0,0,0
CHO,1950,0,0,0
WSC,1951,0,0,0
CHS,1951,0,0,0
SHE,1951,0,0,0
TRI,1951,0,0,0
AND,1951,0,0,0
BLB,1951,0,0,0
STL,1951,0,0,0
CIN,1951,0,0,0
DET,1951,0,0,0
LAL,1951,0,0,0
SFW,1951,0,0,0
PHI,1951,0,0,0
BAL,1951,0,0,0
CHI,1951,0,0,0
ATL,1951,0,0,0
SDR,1951,0,0,0
MIL,1951,0,0,0
PHO,1951,0,0,0
GSW,1951,0,0,0
CAP,1951,0,0,0
BUF,1951,0,0,0
SEA,1951,0,0,0
WSB,1951,0,0,0
KCO,1951,0,0,0
HOU,1951,0,0,0
CLE,1951,0,0,0
SAS,1951,0,0,0
POR,1951,0,0,0
DEN,1951,0,0,0
KCK,1951,0,0,0
NJN,1951,0,0,0
IND,1951,0,0,0
DAL,1951,0,0,0
UTA,1951,0,0,0
SAC,1951,0,0,0
MIA,1951,0,0,0
LAC,1951,0,0,0
CHH,1951,0,0,0
ORL,1951,0,0,0
MIN,1951,0,0,0
TOR,1951,0,0,0
NOH,1951,0,0,0
MEM,1951,0,0,0
WAS,1951,0,0,0
OKC,1951,0,0,0
CHA,1951,0,0,0
BRK,1951,0,0,0
NOP,1951,0,0,0
CHO,1951,0,0,0
WSC,1952,0,0,0
CHS,1952,0,0,0
SHE,1952,0,0,0
TRI,1952,0,0,0
AND,1952,0,0,0
BLB,1952,0,0,0
STL,1952,0,0,0
CIN,1952,0,0,0
DET,1952,0,0,0
LAL,1952,0,0,0
SFW,1952,0,0,0
PHI,1952,0,0,0
BAL,1952,0,0,0
CHI,1952,0,0,0
ATL,1952,0,0,0
SDR,1952,0,0,0
MIL,1952,0,0,0
PHO,1952,0,0,0
GSW,1952,0,0,0
CAP,1952,0,0,0
BUF,1952,0,0,0
SEA,1952,0,0,0
WSB,1952,0,0,0
KCO,1952,0,0,0
HOU,1952,0,0,0
CLE,1952,0,0,0
SAS,1952,0,0,0
POR,1952,0,0,0
DEN,1952,0,0,0
KCK,1952,0,0,0
